time,a_y,a_x,a_z,v_y,v_x,v_z,y,x,z
7.421306,0.8240983487339747,-0.1331814119497805,-0.03784975383012196,0.7936078923705923,0.4334073265978342,0.20833632784650033,1.4387124694949405,0.7399255879230648,0.035917155366608826
7.430775,0.9520438763436356,-0.03333588434012441,-0.3530042262204674,0.7969774726155191,0.42712094441085924,0.2030115442926323,1.4458954680183247,0.7434265886846066,0.03715274259139467
7.445457,1.0517419762706732,0.1101622155869115,-0.6837061262934272,0.8016295732222458,0.42183364136454893,0.19449978625767772,1.4531175569353763,0.7468678518239492,0.038317179618026234
7.458391,1.049749468578274,0.31246970789451256,-0.9720986339858303,0.8072549626422021,0.4179614323088961,0.18261992552076795,1.4603859880679626,0.7502574278617702,0.039373281108431
7.458522,0.9305242291242596,0.5190444684404995,-1.1437238734398447,0.813075358933987,0.4163449789321172,0.16804619031286872,1.467748657063486,0.7536558339215808,0.04033247727641654
7.468525,0.5975451162638138,0.734465355580053,-1.0970029863002906,0.8184534847751042,0.41757255936965004,0.15250163234157948,1.4752968645500024,0.7571813381626155,0.041268833134941965
7.486939,0.29074680767595446,0.7761670469921955,-0.8637012948881458,0.8226819003546882,0.4231820724520794,0.13963735100075444,1.483268477342988,0.761116280171065,0.04243686608041988
7.505347,0.43545087757778617,0.6566711168940254,-0.9297972249863159,0.8233012076394585,0.42869775359434603,0.12861188319911007,1.4911772133237897,0.7650200054055514,0.04339708655253999
7.505547,0.664589667131571,0.5147099064478118,-1.0840584354325318,0.8238979735837654,0.4315259407049044,0.11543756055467677,1.4988405030205096,0.7687142329489371,0.043983677405413056
7.519169,0.7406048068614846,0.40722504617772287,-1.1432432957026184,0.825472396384407,0.4315885449150943,0.099373586432652,1.5062883724183753,0.772196669464515,0.04419643616354937
7.523878,0.6031513608165837,0.3880716001328237,-1.087496741747518,0.8272361355861518,0.4299895237442396,0.08213518304989742,1.5136550636336037,0.7755733431601994,0.044143222446148545
7.534972,0.4955915788374777,0.3821118181537168,-1.0806565237266261,0.8272841610565727,0.4278680662961648,0.06512985041707722,1.5209750078166755,0.7788753682971425,0.04386141801076216
